timestamp,imu_w,imu_x,imu_y,imu_z,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
0.055,0.599534,-0.60203,-0.370269,-0.375526,-0.014126,0.009439,-0.007197,-0.002778,0.014344,-0.011193,-0.009567,-0.001511,0.00856,-0.014603,-0.00856,0.028702
0.056,0.599403,-0.602167,-0.369975,-0.375804,-0.013741,0.009439,-0.007197,-0.002778,0.014344,-0.011193,0.018631,-0.037766,0.046829,0.034744,0.025681,0.006546
0.076,0.599329,-0.602296,-0.369821,-0.375867,-0.025634,-0.00322,-0.017938,-0.001626,0.003604,0.00185,-0.970337,-1.078094,-0.810207,0.064957,-0.9935,1.113344
0.096,0.599227,-0.602117,-0.36951,-0.376622,-0.039828,-0.027771,-0.026377,-0.005079,-0.018646,0.028319,-0.514122,-1.153629,-0.245228,-0.263355,-1.203983,1.628977
0.116,0.597137,-0.600553,-0.371894,-0.380076,-0.054021,-0.057309,-0.025226,-0.006613,-0.043964,0.052104,-0.72662,-1.632,0.184803,0.077042,-0.910919,0.828335
0.136,0.598976,-0.598021,-0.371783,-0.381282,-0.064378,-0.088382,-0.02561,-0.006613,-0.05624,0.060543,-0.342915,-1.330875,-0.091141,-0.158619,-0.546349,0.08107
0.156,0.600246,-0.596056,-0.373184,-0.380991,-0.077421,-0.120989,-0.021774,-0.015437,-0.050869,0.055556,-0.748775,-1.977432,0.138477,-0.752804,0.498009,-0.308674
0.176,0.601994,-0.596038,-0.371593,-0.379816,-0.097753,-0.16894,-0.023692,-0.034234,-0.036292,0.041746,-1.103271,-2.538383,-0.322773,-0.935089,1.097231,-0.784023
0.196,0.60572,-0.59469,-0.369426,-0.378115,-0.10696,-0.207301,-0.035584,-0.058402,-0.010974,0.028702,-0.165668,-1.744793,-0.693386,-1.390297,1.311741,-0.301624
0.216,0.61076,-0.590815,-0.370309,-0.375209,-0.103891,-0.234537,-0.054381,-0.089473,0.010125,0.028702,0.293568,-0.866604,-1.021698,-1.268436,0.900848,0.273426
0.237,0.614436,-0.586194,-0.376481,-0.37028,-0.091232,-0.242977,-0.073562,-0.102132,0.028922,0.026785,0.811214,-0.188831,-0.749783,-0.362049,1.005585,-0.29961
0.257,0.616496,-0.579658,-0.388479,-0.36471,-0.08471,-0.237224,-0.081234,-0.105585,0.053473,0.016043,0.160633,0.470818,-0.321766,-0.107254,1.355047,-0.729641
0.277,0.617877,-0.574966,-0.400803,-0.356369,-0.090081,-0.221878,-0.073178,-0.092926,0.088765,-0.005822,-0.509087,0.822292,0.57354,0.846462,1.892836,-1.195927
0.297,0.615465,-0.572935,-0.406879,-0.356928,-0.105426,-0.195409,-0.0586,-0.071061,0.12444,-0.021166,-0.802151,1.265415,0.965302,1.185854,1.797161,-0.47686
0.317,0.613999,-0.572534,-0.408492,-0.358252,-0.12729,-0.166254,-0.032898,-0.053415,0.167022,-0.02155,-1.255344,1.640055,1.256351,0.893799,2.15468,0.184803
0.337,0.61237,-0.573722,-0.407872,-0.359844,-0.159131,-0.132114,-0.00643,-0.050346,0.19119,-0.008124,-1.412453,1.750835,1.124422,-0.12236,0.500023,0.836391
0.357,0.611581,-0.57483,-0.406387,-0.361094,-0.179079,-0.083011,0.022341,-0.052264,0.218809,0.017578,-0.834377,2.593775,1.609842,-0.012589,2.002609,1.273472
0.377,0.610148,-0.57572,-0.407159,-0.36123,-0.184066,-0.032758,0.060703,-0.052647,0.264843,0.044431,0.038773,2.156694,2.19698,-0.003525,2.718655,1.487984
