timestamp,imu_w,imu_x,imu_y,imu_z,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
0.049,0.602089,-0.599568,-0.370765,-0.374888,-0.019496,0.024017,-0.012951,-0.002394,0.015112,-0.010809,0.04985,-0.010574,0.06395,0.080063,0.010574,-0.014603
0.052,0.602135,-0.599623,-0.370692,-0.374796,-0.019496,0.023634,-0.012951,-0.002394,0.015112,-0.010809,-0.011581,-0.040787,-0.040787,0.010574,-0.028702,-0.093155
0.069,0.602175,-0.599602,-0.37064,-0.374819,-0.035225,0.012124,-0.024843,0.000291,0.003987,0.002618,-1.766949,-1.191898,-0.870632,0.064957,-1.217075,1.512154
0.09,0.601941,-0.599277,-0.37055,-0.375802,-0.063611,-0.018948,-0.035201,-0.002778,-0.025935,0.040979,-0.813229,-1.583656,-0.385216,-0.679287,-1.946213,2.316824
0.11,0.601008,-0.595341,-0.372807,-0.381279,-0.082408,-0.055391,-0.038653,-0.005463,-0.070818,0.085861,-1.213047,-1.962326,-0.272419,0.241199,-1.982468,1.763927
0.13,0.604569,-0.590985,-0.373648,-0.381602,-0.097753,-0.098739,-0.037502,-0.008531,-0.096136,0.101589,-0.256306,-2.10936,0.109268,-0.415428,-0.824306,-0.140491
0.15,0.609309,-0.587986,-0.370473,-0.381792,-0.105426,-0.148992,-0.031747,-0.012368,-0.09345,0.088162,-0.728634,-3.011719,0.460747,-0.492973,1.086153,-1.299656
0.17,0.614167,-0.589019,-0.360723,-0.381752,-0.129209,-0.218809,-0.028295,-0.035384,-0.058925,0.056323,-1.5756,-3.560585,-0.072006,-1.397346,2.117418,-2.035843
0.19,0.620178,-0.591516,-0.346972,-0.380918,-0.14417,-0.275584,-0.035967,-0.070676,-0.013276,0.020647,-0.103226,-2.510185,-0.755825,-2.074112,2.66427,-1.252323
0.21,0.626753,-0.592138,-0.337822,-0.377398,-0.132277,-0.309343,-0.063971,-0.112107,0.033909,0.017961,1.168734,-0.917969,-1.448708,-2.193958,1.977432,0.463768
0.231,0.632071,-0.589358,-0.340375,-0.370525,-0.10811,-0.30589,-0.095044,-0.145481,0.070736,0.021414,1.464821,0.656124,-1.375191,-0.783016,1.663218,-0.080063
0.251,0.631541,-0.5836,-0.356429,-0.365411,-0.085861,-0.281721,-0.111923,-0.158907,0.111014,0.004919,0.83337,1.644083,-0.244221,-0.538292,2.131517,-1.125431
0.271,0.628861,-0.578355,-0.375211,-0.359522,-0.087012,-0.242594,-0.100414,-0.137425,0.150143,-0.022701,-0.875671,2.070086,1.02774,1.897871,2.052963,-1.809246
0.291,0.621581,-0.576131,-0.384164,-0.366235,-0.116934,-0.19656,-0.073178,-0.095611,0.193108,-0.05224,-1.650127,2.549461,1.512154,2.438683,2.460838,-0.835384
0.311,0.614318,-0.575473,-0.386224,-0.377194,-0.154144,-0.139786,-0.032132,-0.058402,0.243361,-0.049938,-2.101303,2.720669,2.114397,0.918976,1.910963,0.596703
0.331,0.607561,-0.579147,-0.38353,-0.38518,-0.195574,-0.0903,0.010067,-0.046126,0.268295,-0.018097,-2.10936,3.175875,2.039871,0.643032,1.481941,1.896864
0.351,0.604988,-0.579771,-0.377438,-0.394202,-0.228181,-0.014728,0.063005,-0.041138,0.300135,0.028702,-1.442665,3.7187,2.825407,-0.348957,1.577616,2.585718
0.372,0.597917,-0.581599,-0.368939,-0.410025,-0.231634,0.056623,0.120162,-0.046509,0.33773,0.077805,0.373127,3.149691,2.893888,-0.19286,2.378256,2.734768
0.392,0.593948,-0.588797,-0.359919,-0.413525,-0.210919,0.105343,0.183842,-0.043056,0.391051,0.131894,1.415472,2.024765,3.103365,0.497002,2.696499,2.400412
0.412,0.591731,-0.596515,-0.350743,-0.413526,-0.174859,0.114165,0.24522,-0.020423,0.437851,0.179079,1.99556,-0.575554,2.551476,1.356054,1.569559,2.471916
0.432,0.588858,-0.603525,-0.337542,-0.418412,-0.12729,0.090382,0.280512,0.016403,0.44399,0.235853,2.471916,-1.714581,0.916962,1.726665,-0.514122,2.811306
0.452,0.585763,-0.605676,-0.326609,-0.428211,-0.075886,0.044732,0.282814,0.045174,0.423274,0.285338,2.899931,-2.652187,-0.136463,0.980408,-0.972351,1.733715
0.472,0.579599,-0.606194,-0.320755,-0.440124,-0.014126,-0.010125,0.262866,0.049778,0.390285,0.299917,3.030853,-2.799221,-1.450722,0.079056,-1.980453,-0.093155
0.493,0.575252,-0.605119,-0.317732,-0.449402,0.022317,-0.03199,0.236781,0.040187,0.3431,0.27805,1.707531,-1.622932,-1.178806,-1.085144,-2.67535,-1.425545
0.513,0.571611,-0.607328,-0.312852,-0.454464,0.034976,-0.077257,0.210311,0.021774,0.275201,0.244676,-0.355,-2.312794,-0.869625,-0.62188,-3.553535,-1.948227
0.533,0.571141,-0.608273,-0.316007,-0.451599,0.013878,-0.130196,0.195735,0.019856,0.208836,0.198259,-1.533302,-3.254429,-0.369099,0.262348,-3.272556,-2.441704
0.553,0.57063,-0.608358,-0.316069,-0.452086,-0.019112,-0.203081,0.178854,0.02561,0.14132,0.148006,-1.941177,-3.444771,-0.808193,0.269398,-3.085236,-2.766994
0.573,0.568134,-0.607985,-0.312122,-0.458431,-0.063995,-0.267144,0.155455,0.018705,0.084162,0.087011,-2.348042,-3.283634,-1.483955,-0.867611,-2.886841,-2.857632
0.593,0.566897,-0.608742,-0.309771,-0.460546,-0.112714,-0.334276,0.120546,-0.006613,0.024319,0.033306,-2.732754,-3.057037,-1.865643,-1.625957,-2.905975,-2.050949
0.613,0.568006,-0.610179,-0.311364,-0.456184,-0.172558,-0.392969,0.077199,-0.047277,-0.033223,0.018345,-2.919067,-2.606865,-2.532341,-2.089218,-3.11142,0.287525
0.633,0.570449,-0.611186,-0.317238,-0.447659,-0.217056,-0.440154,0.018122,-0.092542,-0.08923,0.03906,-1.763927,-2.3843,-3.034882,-2.504143,-2.117416,1.364111
0.653,0.573049,-0.61165,-0.326626,-0.436823,-0.23125,-0.468925,-0.041337,-0.142795,-0.108027,0.071284,0.222065,-0.732662,-3.106384,-2.193958,-0.089127,2.002609
0.673,0.574608,-0.611685,-0.342385,-0.422422,-0.212069,-0.475062,-0.110004,-0.183459,-0.093834,0.10696,1.414465,0.018631,-3.431679,-1.960312,1.387274,1.2775
0.693,0.573544,-0.609663,-0.363329,-0.409084,-0.177161,-0.465088,-0.165245,-0.213764,-0.058158,0.109646,1.882765,0.933075,-2.493065,-0.474846,1.975418,-0.570518
0.713,0.569652,-0.606514,-0.389164,-0.395207,-0.138032,-0.437469,-0.188261,-0.20916,-0.01059,0.087011,1.883772,1.776012,-0.164661,0.606773,2.844542,-1.434608
0.733,0.565363,-0.602667,-0.406761,-0.38949,-0.104658,-0.401025,-0.175601,-0.186911,0.050404,0.054022,1.671274,1.548409,1.186861,1.67631,2.94223,-1.955276
0.754,0.565009,-0.60208,-0.411163,-0.386277,-0.09315,-0.366117,-0.144146,-0.143563,0.108329,0.00607,-0.242207,2.042892,2.308765,2.538383,3.096315,-2.642117
0.774,0.566744,-0.606001,-0.404372,-0.384769,-0.110796,-0.318933,-0.090824,-0.091008,0.172776,-0.049938,-1.249302,2.469902,2.774044,2.458824,2.315817,-2.929138
