timestamp,imu_w,imu_x,imu_y,imu_z,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
0.696,0.618911,-0.604675,-0.379705,-0.327323,-0.149541,-0.435551,-0.057833,-0.149701,0.008974,0.104274,0.838406,-0.134449,-1.563515,-0.310688,0.866604,-0.128407
0.716,0.619328,-0.603958,-0.38495,-0.321686,-0.125756,-0.430564,-0.08085,-0.150467,0.024702,0.091998,1.298649,0.497002,-0.694393,0.13747,0.885742,-0.84042
0.736,0.618466,-0.603662,-0.38883,-0.319223,-0.11233,-0.411766,-0.084687,-0.138959,0.050404,0.06975,0.49398,0.984436,0.076035,0.715542,1.388281,-1.186863
0.756,0.618043,-0.605428,-0.386193,-0.3199,-0.110029,-0.388749,-0.077398,-0.11671,0.080326,0.039445,-0.121353,1.47187,0.564476,1.258366,1.569559,-1.566536
0.776,0.616761,-0.6089,-0.378127,-0.325372,-0.119235,-0.355759,-0.060134,-0.085253,0.119837,0.005686,-0.586632,1.633005,0.974365,1.501076,1.985489,-1.863628
0.796,0.616308,-0.612631,-0.36689,-0.332024,-0.140333,-0.320083,-0.036735,-0.061854,0.158966,-0.028073,-1.21204,1.985489,1.256351,0.944153,2.079149,-1.096222
0.817,0.6147,-0.616934,-0.354719,-0.340162,-0.165652,-0.275584,-0.004511,-0.053415,0.20615,-0.037278,-1.415474,2.294666,1.500069,-0.075027,2.215107,-0.099197
0.837,0.614789,-0.620148,-0.341354,-0.347748,-0.200944,-0.230317,0.028862,-0.055333,0.249882,-0.033443,-1.793133,2.586725,2.015701,-0.33083,2.38027,0.331837
0.857,0.613759,-0.623484,-0.330275,-0.354241,-0.226263,-0.176996,0.06991,-0.067992,0.29745,-0.017714,-1.024719,2.651178,1.975418,-1.011627,2.278553,0.995514
0.877,0.613375,-0.62738,-0.317453,-0.359706,-0.235086,-0.126743,0.110956,-0.0795,0.335812,0.00607,-0.08107,2.729733,2.210072,-0.379173,2.083178,1.177797
0.897,0.611992,-0.631563,-0.306684,-0.364058,-0.230866,-0.071886,0.165045,-0.080651,0.366883,0.033689,0.367085,2.704556,2.477959,0.164661,0.974365,1.421515
0.917,0.610703,-0.636325,-0.291885,-0.370049,-0.216673,-0.028154,0.207242,-0.071061,0.375322,0.067831,0.797115,1.972397,1.896864,0.709499,0.260334,1.581644
0.938,0.607307,-0.640623,-0.277975,-0.378828,-0.192888,-0.004754,0.239849,-0.051113,0.384914,0.103508,1.19492,0.457726,0.983429,1.172762,0.47686,2.180864
0.958,0.603122,-0.643963,-0.263167,-0.390256,-0.161816,-0.000151,0.246372,-0.023109,0.386448,0.149156,1.505104,-0.016617,0.136463,1.43763,-0.060928,2.267475
0.978,0.599351,-0.645004,-0.253555,-0.400572,-0.140333,-0.007056,0.239849,-0.002394,0.378392,0.186368,0.709499,-0.559441,-0.393272,0.844448,-0.599724,1.554451
0.998,0.594919,-0.644852,-0.247688,-0.410961,-0.118085,-0.0224,0.22297,0.004895,0.361897,0.207466,1.10428,-0.737698,-1.400368,0.198902,-1.175785,0.512108
1.018,0.590033,-0.644662,-0.243309,-0.4208,-0.091232,-0.046951,0.193817,0.000291,0.332743,0.208233,1.442665,-1.410439,-1.511147,-0.470818,-1.536324,-0.139484
1.038,0.584868,-0.644741,-0.243919,-0.427483,-0.068598,-0.074572,0.171566,-0.016588,0.302053,0.198642,0.737698,-1.440651,-0.888763,-0.872646,-1.822338,-0.860561
1.059,0.583088,-0.645153,-0.247795,-0.427064,-0.065145,-0.112166,0.163511,-0.027711,0.262158,0.178311,0.007553,-1.956284,0.028702,-0.450676,-1.961319,-1.095215
