timestamp,imu_w,imu_x,imu_y,imu_z,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
0.044,-0.279297,-0.720703,-0.448413,-0.448894,0.000452,-0.004371,-0.001058,0.008347,0.001686,-0.003137,0.041794,-0.048843,0.018631,0.084091,-0.005539,0.014603
0.048,-0.935613,-0.264973,-0.164863,-0.16504,0.000452,-0.004371,-0.001058,0.008347,0.001686,-0.003137,-0.00856,-0.025681,0.052872,0.001511,-0.061935,0.021652
0.065,-0.843987,0.40258,0.250481,0.250749,-0.00185,-0.014728,0.000092,-0.000092,-0.009056,-0.001986,0.009567,-0.900848,-0.058914,-0.783016,-0.974365,-0.178761
0.085,-0.077666,0.748305,0.465587,0.466086,-0.008754,-0.043115,-0.004896,-0.020807,-0.024017,-0.00774,-0.464775,-1.577614,-0.398308,-1.241245,-0.570518,-0.512108
0.105,0.750742,0.495824,0.308496,0.308827,-0.009522,-0.062679,-0.0118,-0.044208,-0.025551,-0.02577,0.08107,-0.63699,-0.180775,-1.261387,0.126392,-0.963287
0.126,0.978996,-0.153026,-0.095211,-0.095313,-0.000699,-0.067283,-0.008348,-0.054565,-0.012125,-0.035361,0.639004,-0.096176,0.358021,-0.146534,0.974365,-0.255299
0.146,0.424627,-0.679545,-0.422805,-0.423258,0.001602,-0.059995,0.008915,-0.048044,0.009742,-0.048787,0.004532,0.593681,1.001556,0.528221,1.169741,-0.841427
0.166,-0.469196,-0.662826,-0.412403,-0.412845,-0.006069,-0.04158,0.033082,-0.041138,0.036978,-0.067968,-0.593681,1.075075,1.530281,0.201923,1.332891,-1.130466
0.186,-0.987936,-0.116235,-0.07232,-0.072398,-0.0241,-0.017797,0.061471,-0.036535,0.066516,-0.083311,-0.989471,1.170748,1.181826,0.188831,1.785076,-0.527214
0.206,-0.716907,0.523276,0.325576,0.325925,-0.032156,0.014427,0.099831,-0.035768,0.09989,-0.084846,-0.269398,1.694439,2.115404,-0.014603,1.068026,0.029709
0.226,0.127228,0.744473,0.463203,0.463699,-0.030238,0.039361,0.133589,-0.033849,0.109863,-0.075639,0.279469,0.826321,1.536324,0.232136,0.290546,0.716549
0.247,0.869655,0.370527,0.230538,0.230785,-0.017961,0.047417,0.151618,-0.031548,0.119837,-0.055309,0.762875,0.20998,0.385216,0.009567,0.708492,1.341955
0.267,0.916867,-0.299623,-0.186422,-0.186622,-0.010289,0.043198,0.150852,-0.028862,0.126743,-0.040732,0.138477,-0.456718,-0.389244,0.059921,0.28249,0.334858
0.287,0.231123,-0.73025,-0.454354,-0.45484,-0.001082,0.025552,0.137425,-0.018121,0.122906,-0.041882,0.618858,-1.129459,-0.865597,0.867611,-0.381187,-0.151569
0.307,-0.639385,-0.577105,-0.359068,-0.359453,0.00237,0.003302,0.118628,-0.006998,0.109097,-0.040732,-0.066971,-1.394325,-1.05191,0.40435,-0.901855,0.236164
0.327,-0.998759,0.037386,0.023261,0.023286,-0.005302,-0.027771,0.089858,-0.007381,0.080326,-0.041882,-0.517143,-1.718609,-1.556465,-0.260334,-1.495033,-0.214008
0.347,-0.559711,0.62199,0.386995,0.38741,-0.023332,-0.064982,0.055332,-0.020423,0.051938,-0.051856,-0.997528,-1.821331,-1.961319,-0.805172,-1.731701,-0.729641
0.367,0.326778,0.709367,0.44136,0.441833,-0.047499,-0.104109,0.013135,-0.040755,0.012811,-0.073338,-1.460793,-2.149647,-2.16576,-1.211033,-1.863628,-1.074066
0.388,0.952036,0.229666,0.142895,0.143049,-0.066296,-0.141704,-0.021007,-0.070676,-0.020564,-0.085614,-0.599724,-1.269444,-1.535316,-1.634014,-1.484962,-0.32378
0.408,0.816223,-0.433634,-0.269802,-0.270091,-0.068982,-0.152828,-0.040187,-0.095994,-0.035909,-0.086765,0.053879,-0.33083,-0.503044,-1.257359,-0.147541,0.127399
0.428,0.02791,-0.75028,-0.466816,-0.467316,-0.060543,-0.153595,-0.040954,-0.105585,-0.03284,-0.077558,0.628933,0.043808,0.171711,-0.152576,0.236164,0.775967
0.448,-0.782715,-0.467142,-0.29065,-0.290962,-0.042897,-0.143238,-0.027912,-0.101749,-0.020564,-0.069886,0.990479,0.880707,0.779995,0.367085,0.847469,0.123367
0.468,-0.967626,0.189436,0.117865,0.117991,-0.030238,-0.121372,-0.010266,-0.084103,0.003221,-0.073338,0.277454,1.19492,1.044861,0.983429,1.166719,-0.262348
0.488,-0.379003,0.694576,0.432157,0.43262,-0.031388,-0.095286,0.016204,-0.059936,0.028538,-0.088299,-0.226093,1.427557,1.341955,1.300663,1.373175,-1.12442
0.508,0.5126,0.644462,0.400977,0.401407,-0.043664,-0.059227,0.051496,-0.039987,0.064215,-0.099424,-0.878693,1.884779,2.002609,0.689358,1.740765,-0.277454
0.529,0.994423,0.079156,0.04925,0.049303,-0.051336,-0.020866,0.088706,-0.035384,0.093369,-0.098657,-0.093155,1.956284,2.070086,-0.030716,1.26038,0.301624
0.549,0.681291,-0.549429,-0.341848,-0.342214,-0.046733,0.013658,0.12515,-0.033849,0.107179,-0.088683,0.359028,1.018677,1.576609,0.296589,0.228107,0.813229
0.569,-0.176475,-0.738792,-0.459668,-0.460161,-0.030238,0.025552,0.145097,-0.02004,0.115618,-0.065666,0.96933,0.270405,0.552391,1.021698,0.793087,1.352026
0.589,-0.893165,-0.337555,-0.210023,-0.210248,-0.021414,0.024401,0.144714,0.004511,0.124825,-0.035361,0.159626,-0.246235,-0.131428,1.237217,0.052872,1.611856
0.609,-0.895846,0.333529,0.207518,0.20774,-0.011057,0.015577,0.135507,0.023693,0.120988,-0.01196,0.704464,-0.562462,-0.584618,0.805172,-0.408379,0.851498
0.629,-0.182375,0.737985,0.459166,0.459658,-0.006453,-0.006672,0.114025,0.027528,0.103342,-0.005438,0.041794,-1.189884,-1.189884,-0.067978,-1.116364,0.123367
