timestamp,imu_w,imu_x,imu_y,imu_z,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
0.044,-0.279297,-0.720703,-0.448413,-0.448894,-0.00185,-0.00322,-0.002209,-0.014669,-0.004837,0.003384,-0.029709,-0.003525,0.103226,-0.096176,-0.01561,0.100204
0.048,-0.935613,-0.264973,-0.164863,-0.16504,-0.00185,-0.002836,-0.002593,-0.014669,-0.004837,0.003001,0.036758,0.022659,-0.103226,-0.01561,0.040787,-0.019638
0.064,-0.843987,0.40258,0.250481,0.250749,-0.003768,-0.012426,0.000476,-0.027328,-0.017112,0.004919,0.064957,-0.453697,-0.053879,-0.86459,-1.012634,-0.171711
0.084,-0.077666,0.748305,0.465587,0.466086,-0.014509,-0.029689,-0.00758,-0.045359,-0.029387,-0.005438,-0.674252,-1.023712,-0.499016,-0.854519,-0.421471,-0.663174
0.104,0.750742,0.495824,0.308496,0.308827,-0.017578,-0.043498,-0.011034,-0.062621,-0.02747,-0.023085,-0.169697,-0.482903,-0.204945,-0.872646,0.158619,-0.955231
0.124,0.978996,-0.153026,-0.095211,-0.095313,-0.008754,-0.049254,-0.006046,-0.067224,-0.015961,-0.031908,0.606773,-0.189838,0.267384,-0.106247,0.841427,-0.101212
0.145,0.424627,-0.679545,-0.422805,-0.423258,-0.005686,-0.043498,0.008532,-0.059936,0.000151,-0.0438,0.024673,0.414421,0.925018,0.43557,0.414421,-0.672237
0.165,-0.469196,-0.662826,-0.412403,-0.412845,-0.012974,-0.02662,0.033082,-0.058402,0.012043,-0.059912,-0.528221,1.107302,1.408422,0.08107,0.814236,-0.954224
0.185,-0.987936,-0.116235,-0.07232,-0.072398,-0.031772,0.00215,0.063005,-0.045743,0.039279,-0.071037,-0.953217,1.205997,1.782055,0.487938,1.657175,-0.390251
0.205,-0.716907,0.523276,0.325576,0.325925,-0.037909,0.032073,0.109421,-0.044975,0.069968,-0.071803,-0.190845,1.536324,2.325888,-0.024673,1.328863,0.025681
0.225,0.127228,0.744473,0.463203,0.463699,-0.033307,0.051253,0.141262,-0.040755,0.085313,-0.061446,0.369099,0.464775,1.209019,0.236164,0.500023,0.700436
0.245,0.869655,0.370527,0.230538,0.230785,-0.017961,0.05202,0.158524,-0.04037,0.100657,-0.039197,0.782009,0.079056,0.505058,0.048843,0.684322,1.03479
0.265,0.916867,-0.299623,-0.186422,-0.186622,-0.012207,0.046266,0.156605,-0.034617,0.104493,-0.028456,0.14452,-0.480888,-0.358021,0.302631,0.067978,0.427513
0.285,0.231123,-0.73025,-0.454354,-0.45484,-0.000699,0.027086,0.138959,-0.020423,0.097204,-0.028456,0.610802,-0.810207,-0.958252,0.815243,-0.457726,-0.172718
0.305,-0.639385,-0.577105,-0.359068,-0.359453,0.001602,0.005219,0.11786,-0.009682,0.080326,-0.024235,0.00856,-1.346989,-1.123413,0.514122,-0.943146,0.421471
0.326,-0.998759,0.037386,0.023261,0.023286,-0.007603,-0.030072,0.087939,-0.008531,0.050787,-0.02155,-0.541313,-1.901901,-1.60984,-0.112289,-1.458778,0.053879
0.345,-0.559711,0.62199,0.386995,0.38741,-0.028319,-0.053857,0.059168,-0.016203,0.022401,-0.033826,-0.867611,-1.408424,-1.657177,-0.423485,-1.201969,-1.730694
0.366,0.326778,0.709367,0.44136,0.441833,-0.054788,-0.087998,0.017738,-0.044975,-0.013276,-0.059528,-1.2775,-1.764935,-2.25539,-1.498055,-1.602791,-1.226139
0.386,0.952036,0.229666,0.142895,0.143049,-0.067064,-0.114851,-0.020239,-0.077582,-0.038594,-0.074489,-0.510094,-1.145573,-1.434608,-1.671276,-0.798122,-0.439598
0.406,0.816223,-0.433634,-0.269802,-0.270091,-0.068214,-0.132497,-0.032132,-0.105201,-0.044348,-0.075256,-0.060928,-0.484917,-0.215015,-1.018677,-0.101212,-0.077042
0.426,0.02791,-0.75028,-0.466816,-0.467316,-0.062844,-0.131346,-0.02983,-0.112107,-0.036292,-0.063748,0.458733,0.205952,0.078049,-0.082077,0.318745,0.580589
0.446,-0.782715,-0.467142,-0.29065,-0.290962,-0.047499,-0.118303,-0.023692,-0.10712,-0.022866,-0.060295,0.761868,0.836391,0.441612,0.485924,0.75079,0.111282
0.466,-0.967626,0.189436,0.117865,0.117991,-0.041362,-0.095286,-0.006046,-0.090241,0.00207,-0.068734,0.094162,1.200962,1.103273,1.018677,1.21204,-0.198902
0.486,-0.379003,0.694576,0.432157,0.43262,-0.041746,-0.071119,0.015437,-0.073362,0.015112,-0.079092,-0.182789,1.298649,1.220097,0.927032,0.758846,-0.620872
0.506,0.5126,0.644462,0.400977,0.401407,-0.054405,-0.034292,0.053797,-0.051496,0.042731,-0.085614,-0.722591,1.78709,2.059006,1.214054,1.511147,-0.036758
0.526,0.994423,0.079156,0.04925,0.049303,-0.058624,0.002534,0.099448,-0.040755,0.063447,-0.083311,-0.010574,1.820326,2.4981,-0.158619,0.850491,0.337879
0.546,0.681291,-0.549429,-0.341848,-0.342214,-0.050185,0.026702,0.135124,-0.03922,0.081476,-0.07142,0.438591,0.735683,1.245274,0.304646,0.71957,0.862576
0.567,-0.176475,-0.738792,-0.459668,-0.460161,-0.029854,0.032456,0.148166,-0.025794,0.097972,-0.048787,0.910919,0.272419,0.413414,1.048889,0.940125,1.057953
0.587,-0.893165,-0.337555,-0.210023,-0.210248,-0.023332,0.029387,0.14855,0.002593,0.104493,-0.023085,0.178761,-0.341908,-0.181782,1.40238,0.09819,1.50309
0.607,-0.895846,0.333529,0.207518,0.20774,-0.009906,0.015577,0.136658,0.016786,0.096054,-0.004288,0.739712,-0.740719,-0.662167,0.398308,-0.520164,0.600731
0.627,-0.182375,0.737985,0.459166,0.459658,-0.005686,-0.008974,0.115175,0.018321,0.079558,-0.001602,0.041794,-1.140537,-1.269444,-0.006546,-0.909912,-0.031723
0.647,0.676889,0.552485,0.34375,0.344118,-0.013358,-0.038128,0.082952,0.010265,0.052322,-0.00774,-0.512108,-1.534309,-1.456764,-0.700436,-1.354038,-0.109268
