time,tensor_0,tensor_1,tensor_2,tensor_3,tensor_4,tensor_5,tensor_6,tensor_7,tensor_8,tensor_9,tensor_10,tensor_11,tensor_12,tensor_13,tensor_14,tensor_15,tensor_16,tensor_17,tensor_18,tensor_19,tensor_20,tensor_21,tensor_22
0.22,0.519687831401825,-0.669098913669586,-0.300515204668045,-0.438088715076447,-0.0834512710571289,-0.233826041221619,-0.0671024322509766,-0.0967055559158325,0.027323842048645,-0.0350816547870636,0.164221376180649,0.751599311828613,-0.167894914746285,0.543236315250397,0.36928004026413,-1.47935342788696,-1,1,1,1,1,-1,1
0.24,0.513499617576599,-0.676345229148865,-0.295240551233292,-0.437845081090927,-0.0923532992601395,-0.210863173007965,-0.063284158706665,-0.078947901725769,0.0357530117034912,-0.0786775350570679,-0.399865508079529,1.15476334095001,0.253131926059723,0.891039192676544,0.625143766403198,-2.24921894073486,-1,1,1,1,1,-1,1
0.26,0.509997248649597,-0.680461287498474,-0.29218202829361,-0.437612593173981,-0.110034748911858,-0.181454598903656,-0.0494239330291748,-0.0571166276931763,0.0504559278488159,-0.112530559301376,-0.830992639064789,1.43222308158875,0.687610745429993,1.23975574970245,1.26039385795593,-0.311446666717529,-1,1,1,1,1,1,1
0.28,0.512705087661743,-0.682551324367523,-0.293982595205307,-0.429920196533203,-0.135836482048035,-0.144891798496246,-0.0260601043701172,-0.0499567985534668,0.0702877640724182,-0.109618693590164,-1.1205461025238,1.63077342510223,0.94180566072464,0.358594596385956,1.32026743888855,0.411983966827393,-1,1,1,-1,1,1,1
0.3,0.520374834537506,-0.682559013366699,-0.303232371807098,-0.413972705602646,-0.168594941496849,-0.103637874126434,0.00340986251831055,-0.0551363229751587,0.095920741558075,-0.0768260061740875,-1.47327435016632,1.8250720500946,1.36562156677246,-0.134556606411934,1.57918131351471,1.93048441410065,-1,1,1,-1,1,1,1
0.32,0.531015634536743,-0.68049567937851,-0.316824376583099,-0.393154174089432,-0.184610739350319,-0.0590780973434448,0.039743185043335,-0.0653660297393799,0.131006896495819,-0.0249867737293243,-0.663977801799774,1.97447025775909,1.75052309036255,-0.327796638011932,2.15156650543213,2.29072093963623,1,1,1,-1,1,1,1
0.34,0.541328132152557,-0.676270186901093,-0.332547038793564,-0.372873693704605,-0.185346126556396,-0.0134049654006958,0.080815315246582,-0.0665290355682373,0.176014423370361,0.00991594791412354,-0.0221790578216314,2.09978723526001,2.01162958145142,0.099218524992466,2.46859884262085,1.70336413383484,1,1,1,1,0.977896809577942,1,1
0.36,0.552834331989288,-0.667778313159943,-0.34793347120285,-0.356915354728699,-0.174256265163422,0.0111526250839233,0.128477215766907,-0.0586191415786743,0.214175760746002,0.0442825555801392,0.569221258163452,1.08303713798523,2.28841757774353,0.525238752365112,1.81210792064667,1.68787097930908,1,-1,1,1,-1,1,1
0.38,0.567305862903595,-0.652424275875092,-0.365476965904236,-0.344866901636124,-0.150823056697845,0.015647292137146,0.161241292953491,-0.0413391590118408,0.24134373664856,0.0826666802167892,0.998882472515106,0.326110690832138,1.42350578308105,0.980818867683411,1.23899066448212,2.15637588500977,1,-1,-1,1,-1,1,1
0.4,0.58515590429306,-0.629820942878723,-0.383681982755661,-0.337203443050385,-0.120141834020615,0.00726675987243652,0.177639603614807,-0.0154759883880615,0.25507390499115,0.129567354917526,1.31085658073425,-0.220593392848968,0.649569034576416,1.39038836956024,0.550000548362732,2.57043695449829,1,-1,-1,1,-1,1,1
0.42,0.606697976589203,-0.602980494499207,-0.398954719305038,-0.330404549837112,-0.0855185985565186,-0.00820934772491455,0.181308507919312,0.00582242012023926,0.257644236087799,0.193482890725136,1.46275091171265,-0.509160101413727,0.0474406257271767,1.03911101818085,0.298329681158066,2.89462924003601,1,-1,-1,-1,-1,-1,1
0.44,0.630087435245514,-0.576094031333923,-0.407548546791077,-0.324051767587662,-0.0471161901950836,-0.0313261151313782,0.174229860305786,0.0202548503875732,0.256716310977936,0.256511390209198,1.64338266849518,-0.862046599388123,-0.431606024503708,0.880519151687622,0.136055380105972,2.28768229484558,1,-1,-1,-1,-1,-1,1
0.46,0.649185955524445,-0.567106008529663,-0.403422474861145,-0.306918054819107,-0.039039671421051,-0.0348355770111084,0.172568559646606,0.00603699684143066,0.245396614074707,0.246061384677887,0.564149439334869,-0.674516141414642,-0.00701844319701195,-0.43448543548584,-0.666757106781006,-0.572061121463776,-1,-1,1,-1,-1,-1,1
0.48,0.668255388736725,-0.564609527587891,-0.385574162006378,-0.293228924274445,-0.0377778112888336,-0.056058943271637,0.18460738658905,0.00760674476623535,0.222814798355103,0.224353194236755,0.293638527393341,-1.21329820156097,0.775999546051025,0.239922553300858,-1.06566226482391,-0.983937442302704,-1,-1,1,1,-1,-1,1
0.5,0.684075653553009,-0.563842952251434,-0.364537358283997,-0.285015940666199,-0.0407014489173889,-0.0954089164733887,0.188107371330261,0.0190277099609375,0.193771660327911,0.195215955376625,-0.180101007223129,-1.76270222663879,0.107186384499073,0.568899989128113,-1.3490823507309,-1.32379496097565,-1,-1,-1,1,-1,-1,1
0.52,0.692120254039764,-0.565817713737488,-0.346144437789917,-0.28461167216301,-0.0521336197853088,-0.138111352920532,0.183816313743591,0.0210943222045898,0.15786224603653,0.160063534975052,-0.66256856918335,-2.2867317199707,-0.454076737165451,-0.0762112215161324,-1.62084102630615,-1.59958744049072,-1,-1,-1,-1,-1,-1,1
0.54,0.692765772342682,-0.568641841411591,-0.332009375095367,-0.29409459233284,-0.073352187871933,-0.188875138759613,0.166208744049072,0.00921154022216797,0.117421925067902,0.119902893900871,-1.0109304189682,-2.4723801612854,-0.944227278232574,-0.60573947429657,-1.85077702999115,-1.82647454738617,-1,-1,-1,-1,-1,-1,1
0.56,0.687016725540161,-0.57274603843689,-0.32045391201973,-0.311895996332169,-0.101890191435814,-0.24198842048645,0.140275359153748,-0.0123355388641357,0.0730520486831665,0.0982440561056137,-1.36237025260925,-2.55895495414734,-1.33248746395111,-1.03375995159149,-2.0324432849884,-0.981739819049835,-1,-1,-1,-1,-1,1,1
0.58,0.674221396446228,-0.578123450279236,-0.310442954301834,-0.338856667280197,-0.136321231722832,-0.295673906803131,0.107178211212158,-0.0413508415222168,0.0254082083702087,0.0918102562427521,-1.6848771572113,-2.32758736610413,-1.70246911048889,-1.45581221580505,-2.14404344558716,-0.294200032949448,-1,-1,-1,-1,-1,1,1
0.6,0.65385240316391,-0.587534964084625,-0.301236748695374,-0.369507849216461,-0.155107989907265,-0.343550086021423,0.0684765577316284,-0.0751503705978394,-0.00266015529632568,0.0978858172893524,-1.06150424480438,-2.48622131347656,-2.00334644317627,-1.68477594852448,-1.27507567405701,0.278207719326019,1,-1,-1,-1,1,1,1
0.62,0.629949450492859,-0.598398089408875,-0.296574413776398,-0.396392405033112,-0.163583487272263,-0.380451560020447,0.0228914022445679,-0.118771433830261,-0.0130850672721863,0.114171907305717,-0.606849074363709,-1.58123624324799,-2.24609065055847,-2.07285451889038,-0.468668252229691,0.740461230278015,1,1,-1,-1,1,1,1
0.64,0.601688802242279,-0.61207777261734,-0.297746330499649,-0.41794553399086,-0.165035277605057,-0.399648278951645,-0.0295219421386719,-0.146870255470276,-0.00954073667526245,0.116177409887314,-0.34422567486763,-0.622866868972778,-2.48916125297546,-1.16560685634613,0.118116937577724,0.0945619940757751,1,1,-1,1,1,-1,1
0.66,0.572856843471527,-0.62855452299118,-0.299352824687958,-0.432599186897278,-0.163354381918907,-0.398326605558395,-0.0652945041656494,-0.158157229423523,0.00415456295013428,0.106547176837921,-0.437000662088394,0.321178674697876,-1.74499797821045,-0.402472913265228,0.597676992416382,-0.43358302116394,1,1,1,1,1,-1,1
0.68,0.546817719936371,-0.647048950195313,-0.300750195980072,-0.43802672624588,-0.154610306024551,-0.383534550666809,-0.0846607685089111,-0.15549910068512,0.0264688730239868,0.0873493105173111,0.52348256111145,0.582121551036835,-0.833484411239624,0.226658284664154,0.983879089355469,-0.871539413928986,1,1,1,1,1,-1,1
