time,tensor_0,tensor_1,tensor_2,tensor_3,tensor_4,tensor_5,tensor_6,tensor_7,tensor_8,tensor_9,tensor_10,tensor_11,tensor_12,tensor_13,tensor_14,tensor_15,tensor_16,tensor_17,tensor_18,tensor_19,tensor_20,tensor_21,tensor_22
12.86,0.6839296221733093,-0.4631710648536682,-0.5341591238975525,-0.17996366322040558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12.86,0.6839296221733093,-0.4631710648536682,-0.5341591238975525,-0.17996366322040558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12.86,0.6839296221733093,-0.4631710648536682,-0.5341591238975525,-0.17996366322040558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12.88,0.6836753487586975,-0.4653378427028656,-0.5332691669464111,-0.1779678612947464,-0.01659521460533142,-0.0024238228797912598,0.008225679397583008,-0.009470224380493164,-0.011909008026123047,0.013218492269515991,-0.32487916946411133,-0.7689557075500488,0.13628658652305603,-0.26555609703063965,-0.6221557259559631,1.2174924612045288,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0
12.9,0.6837673783302307,-0.467199444770813,-0.530102014541626,-0.18214984238147736,-0.017221927642822266,-0.020089030265808105,0.011960029602050781,-0.016265153884887695,-0.031377434730529785,0.00958743691444397,-0.13616247475147247,-0.5220577716827393,0.029063381254673004,-0.8571507930755615,-0.9928915500640869,-0.0914648175239563,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
12.92,0.6825720071792603,-0.46761554479599,-0.529700756072998,-0.18667684495449066,-0.024851560592651367,-0.040230751037597656,0.006072282791137695,-0.04174494743347168,-0.037858664989471436,-0.003422856330871582,-0.40301650762557983,-1.3597445487976074,-0.5692593455314636,-1.336047649383545,-0.2762531340122223,-0.5917431712150574,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
12.94,0.6787806749343872,-0.4710070490837097,-0.5295079350471497,-0.19243314862251282,-0.026251524686813354,-0.05089384317398071,0.0009462833404541016,-0.05900311470031738,-0.03050410747528076,-0.02547338604927063,-0.1563553661108017,-0.38925138115882874,-0.22202740609645844,-0.716596245765686,0.3170798420906067,-1.0018482208251953,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
12.96,0.6741999983787537,-0.47658753395080566,-0.5305977463722229,-0.19179323315620422,-0.02050793170928955,-0.047686755657196045,0.004920482635498047,-0.06229221820831299,-0.020711660385131836,-0.041763871908187866,0.5582502484321594,-0.06287485361099243,0.08472941815853119,0.11770595610141754,-0.061912909150123596,0.08307202160358429,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
12.98,0.6708289384841919,-0.4804903566837311,-0.5306541919708252,-0.1937098652124405,-0.017643481492996216,-0.03837651014328003,0.018186092376708984,-0.05106639862060547,-0.023112177848815918,-0.06080329418182373,0.1709822118282318,0.4686204195022583,0.7614996433258057,0.7198889255523682,0.01681191474199295,-1.116865634918213,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0
13.0,0.6683881282806396,-0.485357403755188,-0.5301364660263062,-0.19141782820224762,-0.026985108852386475,-0.018044590950012207,0.04331982135772705,-0.04682278633117676,-0.018855631351470947,-0.0733632743358612,-0.38657745718955994,0.9150223731994629,1.1591005325317383,0.21209873259067535,0.5561884641647339,-0.7399551868438721,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
13.02,0.6667721271514893,-0.49144217371940613,-0.5302910208702087,-0.18080627918243408,-0.04537862539291382,0.009590864181518555,0.07535171508789062,-0.05686354637145996,-0.004558980464935303,-0.06619343161582947,-0.7772834897041321,1.1836315393447876,1.4383082389831543,-0.5008362531661987,1.0021977424621582,0.5244122743606567,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0
13.04,0.6667078733444214,-0.49441999197006226,-0.5306637287139893,-0.17159707844257355,-0.04765862226486206,0.039967238903045654,0.11233103275299072,-0.06084108352661133,0.007587075233459473,-0.06159764528274536,-0.05702221393585205,1.4008395671844482,1.7669373750686646,0.03321848809719086,0.5836272835731506,0.3789876103401184,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
13.06,0.6700152158737183,-0.48837631940841675,-0.5343035459518433,-0.164584219455719,-0.03634324669837952,0.05195349454879761,0.13488531112670898,-0.052692294120788574,0.013717293739318848,-0.04597067832946777,0.38227176666259766,0.7102857232093811,0.9883628487586975,0.5644949078559875,0.33467260003089905,1.029415488243103,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
13.08,0.6754765510559082,-0.4729703962802887,-0.5434381365776062,-0.1571793556213379,-0.015903234481811523,0.051186442375183105,0.14030051231384277,-0.03440976142883301,0.02233189344406128,-0.01854124665260315,0.7689284682273865,0.16859792172908783,0.197050541639328,1.08405339717865,0.6120280027389526,1.671176552772522,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
13.1,0.6834743618965149,-0.4517512321472168,-0.5519952774047852,-0.15519274771213531,-0.011896580457687378,0.03918778896331787,0.13593876361846924,-0.0006444454193115234,0.026479780673980713,-0.0018535256385803223,0.11636799573898315,-0.3296671509742737,-0.18970987200737,1.543076515197754,0.20330585539340973,0.8056722283363342,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
13.12,0.6923712491989136,-0.4350733160972595,-0.5559479594230652,-0.14918097853660583,0.0018640756607055664,0.02193760871887207,0.12346553802490234,0.01882147789001465,0.027895987033843994,0.020872384309768677,1.051689863204956,-0.2702833414077759,-0.8743751049041748,0.25023308396339417,0.35037359595298767,-1.0576601028442383,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
13.14,0.6960563063621521,-0.43432363867759705,-0.5534475445747375,-0.14340217411518097,0.003235369920730591,0.0034822821617126465,0.10700774192810059,0.021196603775024414,0.02279961109161377,-0.0036065280437469482,-0.03560653328895569,-0.8738565444946289,-0.927348792552948,0.002907194197177887,-0.34849458932876587,-1.5942392349243164,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
13.16,0.6976379156112671,-0.43604496121406555,-0.5506687760353088,-0.14117328822612762,-0.005898177623748779,-0.024038732051849365,0.08300292491912842,0.00934457778930664,0.0072779059410095215,-0.03693974018096924,-0.5641324520111084,-1.163260817527771,-1.2976534366607666,-0.5764589905738831,-0.7292730212211609,-1.516187310218811,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
13.18,0.6961885094642639,-0.4405481517314911,-0.548141360282898,-0.14415250718593597,-0.024507194757461548,-0.05737382173538208,0.05240142345428467,-0.01173257827758789,-0.016780078411102295,-0.052990883588790894,-0.9070870280265808,-1.2337442636489868,-1.404638648033142,-0.8714120388031006,-1.1368345022201538,-0.7292367815971375,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
13.2,0.6920598149299622,-0.4482998847961426,-0.5443558096885681,-0.15413284301757812,-0.05142611265182495,-0.09709018468856812,0.015733957290649414,-0.0407639741897583,-0.04768538475036621,-0.054820358753204346,-1.2827802896499634,-1.6210585832595825,-1.7079473733901978,-1.2823513746261597,-1.432908058166504,-0.08384477347135544,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
13.22,0.6847612261772156,-0.4597473740577698,-0.5398199558258057,-0.16831155121326447,-0.06628602743148804,-0.11759567260742188,-0.0065631866455078125,-0.07612168788909912,-0.06206792593002319,-0.04495677351951599,-0.7971624135971069,-0.9273492097854614,-1.0986603498458862,-1.7100366353988647,-0.6186400651931763,0.44797345995903015,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
13.24,0.6748418211936951,-0.47375354170799255,-0.5362514853477478,-0.18050004541873932,-0.07634903490543365,-0.12508928775787354,-0.022693395614624023,-0.10030531883239746,-0.06116873025894165,-0.025587648153305054,-0.8714566826820374,-0.06662699580192566,-0.7661065459251404,-1.0357869863510132,0.045656442642211914,0.8854560852050781,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13.26,0.6654514670372009,-0.49034202098846436,-0.5319145917892456,-0.18386325240135193,-0.07650752365589142,-0.11985188722610474,-0.022859811782836914,-0.10374045372009277,-0.05442917346954346,-0.041867852210998535,0.4053492844104767,0.12572239339351654,0.4137304723262787,0.21654681861400604,-0.11463864147663116,-1.3968682289123535,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
13.28,0.6604271531105042,-0.5062992572784424,-0.5239125490188599,-0.18169398605823517,-0.07435326278209686,-0.10867089033126831,-0.011917352676391602,-0.09265828132629395,-0.05123019218444824,-0.08644816279411316,0.1327231228351593,0.5213356614112854,0.5502423048019409,0.5488932728767395,0.16299155354499817,-2.391756772994995,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0
13.3,0.6602926850318909,-0.5116039514541626,-0.5184665322303772,-0.1829410046339035,-0.08235044777393341,-0.08827507495880127,0.003789663314819336,-0.07415914535522461,-0.043176114559173584,-0.1080440878868103,-0.6080312132835388,1.1750470399856567,0.8599773645401001,0.8548181653022766,1.2717410326004028,-0.0033967068884521723,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0
13.32,0.6618281006813049,-0.510408878326416,-0.5199908018112183,-0.17628364264965057,-0.10177171230316162,-0.058036625385284424,0.031209707260131836,-0.06990301609039307,-0.02320963144302368,-0.08714509010314941,-0.8539907932281494,1.3644630908966064,1.1536064147949219,0.236184760928154,1.1160995960235596,0.9607502818107605,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0
13.34,0.6635229587554932,-0.5022137761116028,-0.5300509333610535,-0.16298599541187286,-0.10676254332065582,-0.02163749933242798,0.0632944107055664,-0.07439959049224854,0.0031461119651794434,-0.04788103699684143,-0.47054004669189453,2.025569438934326,1.5974787473678589,0.04007800668478012,1.847274661064148,1.920827865600586,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
