time,tensor_0,tensor_1,tensor_2,tensor_3,tensor_4,tensor_5,tensor_6,tensor_7,tensor_8,tensor_9,tensor_10,tensor_11,tensor_12,tensor_13,tensor_14,tensor_15,tensor_16,tensor_17,tensor_18,tensor_19,tensor_20,tensor_21,tensor_22
12.86,0.6002758145332336,-0.600263237953186,-0.37354692816734314,-0.3739193081855774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12.86,0.6002758145332336,-0.600263237953186,-0.37354692816734314,-0.3739193081855774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12.86,0.6002758145332336,-0.600263237953186,-0.37354692816734314,-0.3739193081855774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12.88,0.5974028706550598,-0.6017829179763794,-0.3722366392612457,-0.3773685693740845,-0.007048577070236206,-0.010542631149291992,-0.006531953811645508,0.007803678512573242,-0.008099853992462158,-0.0099714994430542,-0.3359748125076294,-0.42101263999938965,-0.07163386791944504,0.18163102865219116,-0.7846305966377258,0.25263726711273193,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
12.9,0.5944572687149048,-0.6042049527168274,-0.36935529112815857,-0.38096392154693604,-0.023209720849990845,-0.03181314468383789,-0.017457962036132812,0.008190631866455078,-0.026405274868011475,-0.013937950134277344,-0.8007141947746277,-0.9502947926521301,-0.4313242435455322,0.014858035370707512,-0.9286131858825684,0.49016115069389343,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
12.92,0.5923639535903931,-0.6074845790863037,-0.36222222447395325,-0.385826975107193,-0.029597580432891846,-0.05346196889877319,-0.017363786697387695,-0.0013415813446044922,-0.05470079183578491,0.016511917114257812,-0.30160900950431824,-1.1225897073745728,-0.23850871622562408,-0.5064997673034668,-1.343927264213562,1.7199515104293823,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0
12.94,0.5865157246589661,-0.613895058631897,-0.35053524374961853,-0.3952937126159668,-0.052384763956069946,-0.08098304271697998,-0.01551198959350586,-0.0002377033233642578,-0.06847423315048218,0.032906532287597656,-1.169126272201538,-1.2605098485946655,0.10351245850324631,0.07715249061584473,-0.6166222095489502,0.8584762811660767,-1.0,-1.0,1.0,0.9999998807907104,0.9944893717765808,-1.0,1.0
12.96,0.5855143070220947,-0.6197413802146912,-0.33820030093193054,-0.39838942885398865,-0.06860913336277008,-0.10755538940429688,-0.0049059391021728516,-0.008849620819091797,-0.06825840473175049,0.038464635610580444,-0.5212485194206238,-1.451601505279541,0.5658202171325684,-0.5262482166290283,0.06547952443361282,0.2444133311510086,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
12.98,0.584351658821106,-0.6252346634864807,-0.32509297132492065,-0.4024043083190918,-0.08046489953994751,-0.14524632692337036,0.002271890640258789,-0.02507615089416504,-0.05659276247024536,0.031568169593811035,-0.5719982385635376,-1.9166988134384155,0.1649247705936432,-0.8386943340301514,0.5442442893981934,-0.3144772946834564,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
13.0,0.578554093837738,-0.6311295628547668,-0.3132013976573944,-0.4109201729297638,-0.096639484167099,-0.1933910846710205,-0.002353191375732422,-0.05092597007751465,-0.0353054404258728,0.014553099870681763,-0.7117425203323364,-2.1442017555236816,-0.23464033007621765,-1.2661694288253784,0.9944440126419067,-0.779475212097168,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
